title,url,price,log_price,brand,cpu_family,ram_gb,storage_gb,outlier_flag
"Acer TravelLite TL14-52M Core i3 13th Gen 8GB RAM 512GB Storage 14"" FHD Laptop",https://www.startech.com.bd/acer-travellite-tl14-52m-core-i3-13th-gen-14-inch-fhd-laptop,56000,10.933106969717286,Acer,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 15IAH8 Core i5 12th Gen 15.6"" FHD Military Grade Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3-15iah8-core-i5-12th-gen-laptop,66800,11.109458359524737,Lenovo,Intel,8,512,FALSE
"Acer Aspire Lite AL15-41 AMD Ryzen 5 5500U 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-lite-al15-41-amd-ryzen-5-5500u-15-6-fhd-laptop,56000,10.933106969717286,Acer,AMD,8,512,FALSE
"Asus ExpertBook B1 B1403CTA Core 3 N355 14"" FHD Laptop",https://www.startech.com.bd/asus-expertbook-b1-b1403cta-laptop,56000,10.933106969717286,ASUS,Intel,8,512,FALSE
"Lenovo LOQ 15IAX9 Core i5 12th Gen RTX 2050 4GB Graphics 15.6"" FHD 144Hz Gaming Laptop",https://www.startech.com.bd/lenovo-loq-15iax9-i5-12th-gen-gaming-laptop,96500,11.477298287327077,Lenovo,Intel,16,512,FALSE
"MSI Modern 15 F13MG Core i3 13th Gen 15.6"" FHD Laptop Platinum Gray",https://www.startech.com.bd/msi-modern-15-f13mg-core-i3-13th-gen-fhd-laptop,51000,10.839580911706463,MSI,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 14IRH10R Core 5 210H 14"" WUXGA Laptop With Backlit Keyboard",https://www.startech.com.bd/lenovo-ideapad-slim-3-14irh10r-laptop,87000,11.37366339763672,Lenovo,Intel,16,512,FALSE
"MSI Modern 15 F13MG Core i3 13th Gen 15.6"" FHD Laptop Urban Silver",https://www.startech.com.bd/msi-modern-15-f13mg-core-i3-13th-gen-laptop,54500,10.905955980651335,MSI,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 15IRH10R Core 5 210H 24GB RAM 15.3"" WUXGA Laptop With Backlit Keyboard",https://www.startech.com.bd/lenovo-ideapad-slim-3-15irh10r-laptop-backlit-keyboard,90000,11.407564949312402,Lenovo,Intel,4,512,FALSE
"MSI Modern 14 F13MG Core i3 13th Gen 14"" FHD Laptop Urban Silver",https://www.startech.com.bd/msi-modern-14-f13mg-core-i3-13-gen-14-inch-laptop,54500,10.905955980651335,MSI,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 15IRH10R Core 5 210H 16GB RAM 15.3"" IPS Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3-15irh10r-16gb-ram-laptop,79000,11.27720313144916,Lenovo,Intel,16,512,FALSE
"MSI Modern 14 F13MG Core i3 13th Gen 14"" FHD Laptop Platinum Gray",https://www.startech.com.bd/msi-modern-14-f13mg-core-i3-13-gen-laptop-platinum-gray,54500,10.905955980651335,MSI,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 15IRH10R Core 7 240H 15.3"" WUXGA IPS Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3-15irh10r-core-7-laptop,100500,11.517913006481267,Lenovo,Intel,4,512,FALSE
"Lenovo IdeaPad Slim 5 14IRH10R Core 7 240H 14"" WUXGA IPS Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-5-14irh10r-laptop,114500,11.648330101976432,Lenovo,Intel,16,1024,FALSE
